Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc)
272.2849999998249,909730158.8626157,500.17546361568276,0.002753726033177793,1381.2102359939506,569.4140545079881,1033.583078650089,23.276634583844103,770037.0539693116,0.3311151581201632
272.78999999982443,909725954.3208741,500.1731519317242,0.002751856214956466,1381.2118842052637,569.4145143496911,1033.779111564812,23.274868453278458,775627.0784089825,0.33817582055033646
273.294999999824,909721777.1926565,500.1708553198966,0.0027500118509494256,1381.2134520535642,569.4149507293632,1033.5752712878962,23.273125664743336,781218.6000406237,0.3453365257277933
273.7999999998235,909717681.1795021,500.16860330564975,0.002748194308941504,1381.2147831195887,569.4153494818446,1033.7714037852963,23.271405920909544,786811.6191414653,0.3525979785776832
274.30499999982305,909713610.976505,500.1663654819927,0.0027464013804275947,1381.2160527087021,569.4157282000076,1033.5676603023896,23.269708919580054,792406.1359810687,0.3599608839889245
274.8099999998226,909709621.5773808,500.164172084822,0.0027446344501303116,1381.2171033777017,569.4160725345945,1033.7638906584382,23.268034368813613,798002.1508313105,0.3674259468142628
275.31499999982213,907356103.5943917,498.87019283525956,0.0027210273957246475,1381.2160278156764,569.4165397370709,1032.608271147194,23.24549578668936,803599.3103816317,0.3749938144780221
275.8199999998217,836205623.4007082,459.7512034616991,0.002424298764630129,1379.4537268542265,569.444276460691,1012.4082711471941,22.942495786689552,808972.6990794557,0.3826644680974732
276.3249999998212,773022152.1760846,425.0125266081853,0.0021629399099575637,1374.7221438946156,569.4639908862795,992.2082711471941,22.639495786689775,813947.7505409024,0.3904393487046442
276.82999999982076,717952419.1318831,394.73483493419184,0.0019297484743175453,1367.6929034315763,569.419915431025,972.0082711471941,22.336495786690293,818575.4321553835,0.3983190783638279
277.3349999998203,669539722.8606856,368.1172246830312,0.001718868889790088,1358.912503591207,569.2816130749733,951.8082711471941,22.033495786690185,822899.2917729226,0.40630422404612027
277.83999999981984,626529157.3985517,344.4697405243311,0.0015257273280831483,1348.8083580977245,569.0355587214179,931.608271147194,21.73049578669044,826954.7330863384,0.41439532260414025
278.3449999998194,587976540.8211776,323.2732651933447,0.0013474697117002886,1337.7145524599384,568.67916144995,911.4082711471941,21.42822641060866,830770.5858926796,0.422592871941375
278.8499999998189,563389640.7464072,309.7552301760754,0.0012786984799135063,1326.1219883208569,568.2180638538152,891.2082711471941,21.229729855197093,834393.3302974589,0.43089731108569385
279.35499999981846,552829940.8135978,303.9494395709372,0.0013169729093707784,1314.9787942741564,567.6728443699078,871.0082711471941,21.14548807454265,837918.4147243139,0.43930911584506177
279.859999999818,548515614.0170985,301.57739508653043,0.001393512644380566,1304.8055162859973,567.075610817555,850.8082711471941,21.11139298353766,841403.020457143,0.44782871777579686
280.36499999981754,546847773.1741697,300.6604055169068,0.0014774063575346916,1295.7806536694357,566.4585955178572,830.608271147194,21.09766608598609,844872.0298810215,0.456456542399983
280.8699999998171,546168008.8935543,300.2866667649331,0.0015563217091467741,1287.9315623575446,565.8495121505373,810.4082711471941,21.091882936842886,848335.5505334239,0.4651930176043464
