Time(s),Neutron_Density(#/cc),Power(MW),Reactivity($),Fuel_Temp(K),Coolant_Temp(K),Flow_Rate(kg/s),Rod_Position(%),Xe-135(atoms/cc),Sm-149(atoms/cc)
0.5000000000000003,124620.9100815452,0.06851737393665808,-1.2067176989740467e-06,450.11208682154705,450.00235576721377,980.2,0.0,9.825660337813122,5.533780033102758e-10
1.0000000000000007,95125.80684495851,0.052300777408521994,-1.2008553924438567e-06,450.11154229612197,450.0043828836866,960.2,0.0,10.460463579033627,2.373667118131932e-09
1.50499999999999,79457.47545837652,0.04368622853485834,-1.1822448319354003e-06,450.10981364018954,450.00603310683135,940.0,0.0,10.975256550561886,5.584372321379796e-09
2.0099999999999794,69415.82733823018,0.03816526613185392,-1.1581774444976809e-06,450.10757812309396,450.0073465861229,919.8,0.0,11.416411747604124,1.0241909341946085e-08
2.5149999999999686,62168.638851079726,0.03418071551961228,-1.1316944592211364e-06,450.1051182315384,450.0083820547003,899.6,0.0,11.807430326682747,1.6404275454749924e-08
3.019999999999958,56550.750225526615,0.03109196439879598,-1.1042873144654356e-06,450.1025724988225,450.00919021555677,879.4,0.0,12.160929991003385,2.4122719723110843e-08
3.524999999999947,51981.52924206087,0.02857977745907221,-1.0767632116458091e-06,450.1000159024153,450.0098135184933,859.2,0.0,12.484636310776075,3.3443471557096016e-08
4.029999999999936,48134.57960399827,0.026464699927587713,-1.0495806719499813e-06,450.0974910323776,450.0102870064474,839.0,0.0,12.783688023003219,4.4408786259797315e-08
4.5349999999999255,44813.25738038996,0.024638615712585632,-1.023006071813483e-06,450.0950226312698,450.01063939951734,818.8,0.0,13.061718907192773,5.7057635478576646e-08
5.039999999999915,41893.38657643203,0.023033252057396418,-9.971956038822757e-07,450.0926252071535,450.01089414883234,798.6,0.0,13.321435491083768,7.14261930539292e-08
5.544999999999904,39293.46143539265,0.021603796575332065,-9.177751252518748e-07,450.09030725664275,450.0110703729105,778.4,0.04699070118553983,13.564947715482775,8.75481709755063e-08
6.049999999999893,36965.29801565571,0.02032375742691481,6.345269778836264e-07,450.08807389487674,450.01118365435894,758.2,0.2533111747321627,13.793983870162522,1.0545507856660969e-07
6.5549999999998825,34877.44388096901,0.0191758418613976,5.328261857183785e-06,450.0859287451536,450.0112467045097,738.0,0.5035145819113708,14.01005231789018,1.2517662296137278e-07
7.059999999999872,32998.11894378631,0.018142576983254954,1.318085334887854e-05,450.0838741838761,450.0112699183324,717.8,0.7556511598212661,14.214473126718197,1.4674075723939573e-07
7.564999999999861,31301.833155548542,0.017209948200652782,2.4182442776113053e-05,450.08191148352415,450.0112618081068,697.6,1.0080836528572432,14.408397150176492,1.7017386660053923e-07
8.064999999999861,29782.260748610905,0.016374477566055062,3.81729981461158e-05,450.08005921046896,450.0112297745392,677.6,1.2580720902320808,14.591057003979172,1.9524081539793056e-07
8.564999999999939,28404.868149837304,0.015617178299936708,5.5243935976307445e-05,450.07829742839203,450.0111794452594,657.6,1.508071498388993,14.765299658283599,2.2218744680540952e-07
9.065000000000017,27155.250076170407,0.014930130285478977,7.539370454120057e-05,450.07662569193155,450.01111540603443,637.6,1.7580713773538044,14.93191140483378,2.510356983300186e-07
9.565000000000095,26020.953635603153,0.01430648684295788,9.862105034617393e-05,450.07504326572194,450.0110414386744,617.6,2.0080713535139063,15.091600395490532,2.818065119447862e-07
10.065000000000174,24991.116841572046,0.013740275982644098,0.0001249245461646176,450.0735492038215,450.0109606650905,597.6,2.258071343498222,15.24500692484558,3.1451992628349053e-07
